0,1,2,3,4,5,6,7,8,9,10
HARI,JAM,KELAS,KODE,MATA KULIAH,THN. KURIKULUM,Kuota,SKS,RUANG,JENIS,PILIH
Senin,07:00 - 08:39,A  Teknik Informatika,CIF62004,ALGORITMA DAN STRUKTUR DATA,2020,0/5,4,TIF07 - G1.2,Luring,
Senin,16:20 - 18:00,A  Teknik Informatika,CIF62013,KEAMANAN INFORMASI,2020,2/40,4,TIF07 - G1.3,Luring,
Senin,08:40 - 10:19,A  Teknik Informatika,CIF62015,PEMROGRAMAN WEB,2020,2/40,4,TIF07 - G1.5,Luring,
Senin,07:00 - 08:39,A  Teknik Informatika,CIF62016,ANALISIS DAN PERANCANGAN SISTEM,2020,0/40,5,TIF07 - G1.3,Luring,
Senin,15:30 - 18:00,A  Teknik Informatika,CIF62023,ARSITEKTUR JARINGAN TERKINI,2020,4/40,3,TIF06 - F4.10,Luring,
Senin,12:50 - 15:19,A  Teknik Informatika,CIF62027,FORENSIK DIGITAL,2020,13/40,3,TIF06 - F4.10,Luring,
Senin,07:00 - 09:29,A  Teknik Informatika,CIF62044,DESAIN PRODUK APLIKASI DAN GIM,2020,29/40,3,TIF06 - F3.2,Luring,
Senin,09:30 - 11:59,A  Teknik Informatika,CIF62068,KEWIRAUSAHAAN TEKNOLOGI INFORMASI,2020,27/40,3,TIF06 - F3.17,Luring,
Senin,12:50 - 14:29,A  Teknik Informatika,UBU60003,KEWIRAUSAHAAN,2020,1/5,2,TIF06 - F3.3,Luring,
Senin,07:00 - 09:29,B  Teknik Informatika,CIF62002,SISTEM OPERASI,2020,0/5,4,TIF06 - F3.16,Luring,
Senin,09:30 - 11:59,B  Teknik Informatika,CIF62006,STATISTIKA DAN TEORI PELUANG,2020,0/5,3,TIF06 - F3.14,Luring,
Senin,09:30 - 11:59,B  Teknik Informatika,CIF62014,SISTEM MULTIMEDIA,2020,2/40,3,TIF06 - F4.11,Luring,
Senin,12:50 - 15:19,B  Teknik Informatika,CIF62037,ENTERPRISE FRAMEWORKS,2020,7/40,3,TIF06 - F3.5,Luring,
Senin,07:00 - 09:29,B  Teknik Informatika,CIF62038,PENGUJIAN PERANGKAT LUNAK,2020,6/40,3,TIF06 - F3.4,Luring,
Senin,09:30 - 11:59,B  Teknik Informatika,CIF62041,PEMROGRAMAN APLIKASI PERANGKAT BERGERAK,2020,17/40,3,TIF06 - F3.2,Luring,
Senin,15:30 - 18:00,B  Teknik Informatika,CIF62058,SISTEM PENDUKUNG KEPUTUSAN,2020,11/40,3,TIF06 - F4.7,Luring,
Senin,14:30 - 16:19,B  Teknik Informatika,UBU60003,KEWIRAUSAHAAN,2020,0/5,2,TIF06 - F3.15,Luring,
Senin,12:50 - 15:19,C  Teknik Informatika,CIF62002,SISTEM OPERASI,2020,1/5,4,TIF06 - F4.3,Luring,
Senin,07:00 - 08:39,C  Teknik Informatika,CIF62004,ALGORITMA DAN STRUKTUR DATA,2020,0/5,4,TIF07 - G1.6,Luring,
Senin,09:30 - 11:09,C  Teknik Informatika,CIF62005,ALJABAR LINEAR,2020,0/5,2,TIF06 - F3.15,Luring,
Senin,10:20 - 11:59,C  Teknik Informatika,CIF62013,KEAMANAN INFORMASI,2020,2/40,4,TIF07 - G1.5,Luring,
Senin,07:00 - 09:29,C  Teknik Informatika,CIF62017,PENGANTAR PEMBELAJARAN MESIN,2020,0/40,4,TIF06 - F3.3,Luring,
Senin,09:30 - 11:59,C  Teknik Informatika,CIF62046,EVALUASI ANTARMUKA DAN PENGALAMAN PENGGUNA,2020,8/40,3,TIF06 - F3.10,Luring,
Senin,15:30 - 17:09,C  Teknik Informatika,UBU60003,KEWIRAUSAHAAN,2020,0/5,2,TIF06 - F4.3,Luring,
Senin,16:20 - 18:00,D  Teknik Informatika,CIF62002,SISTEM OPERASI,2020,0/5,4,TIF07 - G1.5,Luring,
Senin,14:30 - 16:19,D  Teknik Informatika,CIF62003,PEMROGRAMAN BERORIENTASI OBYEK,2020,0/5,5,TIF07 - G1.4,Luring,
Senin,09:30 - 11:59,D  Teknik Informatika,CIF62004,ALGORITMA DAN STRUKTUR DATA,2020,1/5,4,TIF06 - F4.3,Luring,
Senin,09:30 - 11:59,D  Teknik Informatika,CIF62014,SISTEM MULTIMEDIA,2020,1/40,3,TIF06 - F3.6,Luring,
Senin,14:30 - 16:19,D  Teknik Informatika,CIF62017,PENGANTAR PEMBELAJARAN MESIN,2020,1/40,4,TIF07 - G1.3,Luring,
Senin,15:30 - 18:00,E  Teknik Informatika,CIF62004,ALGORITMA DAN STRUKTUR DATA,2020,0/5,4,TIF06 - F3.1,Luring,
Senin,07:00 - 09:29,E  Teknik Informatika,CIF62006,STATISTIKA DAN TEORI PELUANG,2020,0/5,3,TIF06 - F3.14,Luring,
Senin,14:30 - 16:19,E  Teknik Informatika,CIF62013,KEAMANAN INFORMASI,2020,3/40,4,TIF07 - G1.5,Luring,
Senin,07:00 - 09:29,E  Teknik Informatika,CIF62017,PENGANTAR PEMBELAJARAN MESIN,2020,3/40,4,TIF06 - F4.4,Luring,
Senin,14:30 - 16:19,F  Teknik Informatika,CIF62005,ALJABAR LINEAR,2020,1/5,2,TIF06 - F3.16,Luring,
Senin,08:40 - 10:19,F  Teknik Informatika,CIF62016,ANALISIS DAN PERANCANGAN SISTEM,2020,2/40,5,TIF07 - G1.4,Luring,
Senin,12:50 - 14:29,F  Teknik Informatika,UBU60003,KEWIRAUSAHAAN,2020,0/5,2,TIF06 - F3.16,Luring,
Senin,08:40 - 10:19,G  Teknik Informatika,CIF62004,ALGORITMA DAN STRUKTUR DATA,2020,0/5,4,TIF07 - G1.2,Luring,
Senin,16:20 - 18:00,G  Teknik Informatika,CIF62013,KEAMANAN INFORMASI,2020,0/40,4,TIF07 - G1.2,Luring,
Senin,12:50 - 15:19,G  Teknik Informatika,CIF62015,PEMROGRAMAN WEB,2020,0/40,4,TIF06 - F3.10,Luring,
Senin,12:50 - 14:29,G  Teknik Informatika,UBU60003,KEWIRAUSAHAAN,2020,0/5,2,TIF06 - F3.15,Luring,
